"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"ATAT1",44.4466,42.4425,51.6153,46.7187,27.0746,25.9587,43.5112,28.8681,37.9074,32.9214,44.2095,33.3555,37.2049,25.8519,42.6758,31.897,45.9471,42.8464,57.1487,35.6459,49.4275,39.5423,53.087,42.8382,38.582,35.3991,43.9034,40.8364,35.9363,45.331,40.8528,38.5555,40.4685,41.3287,39.9266,25.7979,34.5669,47.2386,32.475,47.6306,40.1657,45.0233,41.1272,36.8827,39.4257,38.329,43.4698,38.2109,44.9062,35.9919,36.9467,33.2518,40.655,30.28,38.2307,39.4243,42.0796,45.1293,32.5142,28.6885,47.3394,41.714,47.2436,37.757,32.3556,33.3121,38.0031,29.2623,37.7718,28.5268,32.6413,41.9237,38.0701,40.4324,39.8414,40.3559,22.0007,32.9597,32.9795,33.8741,43.7326,35.1959,37.9036,31.757,44.3005,43.2928,40.2491,37.9262,48.2845,36.5906,35.1876,44.2251,43.9311,28.1545,38.4645,31.0031,52.4995,38.2128,51.4715,39.5159,40.64,30.7413,45.2284,39.6709,47.7705,34.7428,36.8591,32.4044,31.5849,28.1423,35.2855,37.3116
"HP1BP3",134.643,193.128,176.497,160.325,188.84,219.616,189.351,154.404,241.7,165.967,171.462,168.134,203.731,141.127,128.882,113.685,279.028,148.408,155.165,155.628,158.343,162.193,198.029,197.154,160.271,164.043,189.934,174.601,178.434,176.929,151.049,181.183,156.635,176.764,210.149,168.126,196.202,195.377,199.075,221.951,167.854,168.071,140.677,137.624,150.481,143.134,169.534,135.176,143.766,96.8266,163.67,193.656,136.803,159.715,147.218,165.484,156.428,130.237,210.171,207.434,204.46,142.88,146.15,148.811,204.56,201.736,227.663,179.537,184.59,122.384,151.043,171.468,143.274,134.732,166.505,155.501,99.1498,122.007,188.064,208.374,222.188,160.365,184.779,207.242,206.454,186.81,167.473,111.221,156.479,168.239,198.207,151.025,213.52,133.153,173.893,148.123,157.047,136.582,185.857,117.306,236.566,138.079,150.423,193.297,195.061,220.873,151.846,158.876,213.383,117.64,115.418,132.749
"CEP170",41.5188,51.9737,51.3955,51.114,26.6688,37.0921,66.1453,52.3839,49.4121,39.2711,49.01,57.9914,47.1885,NA,48.5082,36.7732,53.3141,40.8243,53.9993,54.7962,55.6965,51.1057,42.6664,47.5164,60.2972,51.2433,52.9319,50.1854,48.2212,54.5131,44.5602,51.1509,43.0592,45.8569,40.8181,44.2576,49.1335,49.627,46.1994,55.4248,48.5716,45.5865,45.2383,46.4126,50.9523,47.1122,61.5441,39.0602,46.1146,39.9582,50.9912,45.6278,45.6177,53.8766,59.342,50.3941,53.7547,43.686,42.5835,54.994,50.8668,57.7083,54.1145,54.3938,75.9125,55.3983,48.2756,53.6048,53.3538,47.8166,47.9784,35.934,48.0274,45.2982,58.1115,44.974,42.0426,54.161,38.5745,31.2134,50.3463,45.2286,43.6469,34.355,44.8253,56.1782,53.1398,46.2789,50.044,51.3165,58.653,53.7075,60.5218,34.1142,36.5681,40.3344,49.1466,68.1094,59.1283,51.2536,42.735,42.1734,40.4276,37.2409,55.7621,56.2968,41.8846,44.1681,38.8516,39.6303,57.1741,43.1057
"CLVS2",50.5341,36.9617,36.108,47.514,43.3984,50.662,35.0794,39.7373,36.7062,54.5745,18.9494,38.1315,45.729,NA,51.0246,45.7913,37.2349,45.2538,36.966,35.9753,45.9339,40.9649,45.3995,45.1138,47.1209,39.504,49.4996,49.0039,48.5343,28.3542,47.4894,46.1238,52.8176,33.0528,37.3837,50.4987,41.7241,49.8715,41.5065,40.5931,48.7883,39.6788,46.1641,48.0875,46.4117,47.9304,34.4928,29.1977,47.4435,44.2171,46.6157,47.3541,46.4748,34.8217,47.2945,40.1237,37.7982,34.8771,34.3856,16.7231,47.5891,22.279,39.0593,42.2159,27.1979,21.3329,45.4181,48.9311,50.0429,44.1245,49.5647,38.9339,47.2732,38.4098,35.1201,46.9151,53.9637,43.0057,25.7194,17.6917,49.0314,40.9938,42.2128,33.8769,39.5619,28.913,44.2815,45.4591,47.2366,47.5334,50.0045,49.0768,37.8635,23.1923,40.221,39.8167,45.8539,41.3014,44.045,45.9282,50.1473,45.7712,38.6942,34.8954,40.1772,38.5918,44.2041,39.7227,37.0399,42.7764,48.598,37.5275
"TPRG1L",104.928,65.569,96.9504,68.933,90.9413,90.9851,72.1683,77.3932,89.3131,93.8797,82.5185,78.8505,89.7349,58.5197,108.313,84.7835,75.9774,74.9322,92.4238,90.8025,108.392,115.089,82.5301,67.4777,110.095,87.9387,97.1389,94.7732,82.9801,73.4029,88.3805,67.0262,111.535,98.812,86.2256,73.4328,103.202,73.5235,70.4847,72.6922,122.973,94.3097,108.328,92.8526,83.1529,98.0574,86.563,64.1385,94.4317,86.0038,94.5768,85.9566,105.589,82.6673,94.7948,77.1021,114.266,93.6401,90.757,45.9667,92.5551,67.114,89.3863,73.8021,87.3213,80.2402,90.2499,88.9977,81.4995,96.3697,94.2804,80.1879,113.437,80.9093,114.72,74.9332,94.9674,64.4294,87.5496,99.4926,92.182,91.2719,88.2272,58.8947,118.819,101.363,91.749,79.911,101.129,78.7103,84.1344,91.984,104.498,70.7309,104.222,81.1991,122.29,86.4931,101.28,82.8366,112.722,89.5603,93.6121,65.5082,89.2314,79.2619,77.1678,54.2003,76.2259,94.6459,98.1242,82.6092
"CC2D1B",NA,17.1869,8.59589,20.4594,NA,NA,NA,NA,NA,NA,NA,34.7091,NA,NA,NA,NA,NA,13.6867,NA,24.3652,NA,8.58708,NA,24.5718,NA,NA,18.9096,NA,NA,NA,NA,14.9007,19.2233,16.7345,22.9932,NA,20.3836,NA,16.4377,NA,22.5212,31.6753,15.0662,NA,NA,10.8863,18.1528,6.29443,NA,NA,34.4283,20.5682,16.0252,32.9842,NA,29.5462,NA,NA,NA,NA,15.0238,11.7746,NA,NA,NA,NA,22.7979,NA,NA,NA,NA,NA,NA,NA,NA,27.0651,NA,20.1508,NA,NA,NA,27.0081,NA,NA,NA,16.4037,21.8538,NA,NA,17.502,NA,NA,NA,35.3103,NA,41.5995,18.8179,NA,NA,24.8555,13.2911,NA,19.7453,28.7637,22.9151,22.9982,NA,NA,NA,NA,28.9484,28.059
"IBA57",35.8959,37.8004,42.9565,30.1031,28.3552,31.509,11.7462,32.6824,27.3631,26.6707,32.9666,40.8746,21.8828,NA,20.4531,23.5815,24.9566,24.1297,23.1531,33.0039,25.0583,30.1153,31.647,17.4676,27.2464,30.8079,24.0676,25.9197,25.0927,30.0414,29.8358,33.1661,22.1052,21.3068,21.6206,27.3727,30.0637,37.3525,28.4731,39.3551,33.5232,38.4779,20.0224,23.3775,36.4632,24.6719,15.1825,41.1763,22.7752,25.0235,25.0391,35.989,26.84,18.6101,21.4067,27.9509,26.1401,25.3524,19.5736,NA,36.1031,41.0975,27.7449,28.6506,25.885,16.8117,23.7651,38.7768,34.8894,21.1396,27.5984,24.0636,33.187,32.0533,37.996,35.9085,NA,35.7993,8.99118,14.8749,27.1798,14.9166,23.3985,23.0377,28.1884,26.2684,20.0422,24.2147,13.1627,NA,33.6886,39.2928,16.7131,NA,29.7251,29.8717,27.9969,26.3161,20.7285,31.2075,21.5574,31.1584,NA,26.1394,34.3215,37.6785,28.8104,36.5196,23.863,29.2639,20.6252,28.9103
"UBR4",17.2042,21.7286,15.4235,25.7303,30.8467,25.9697,13.5893,20.1045,34.0641,25.0414,NA,21.9681,21.8876,NA,23.8653,23.605,18.5908,18.1411,17.4016,19.9159,19.0016,13.9581,26.3524,18.38,20.1427,19.6682,21.6424,21.688,24.5367,27.4307,24.0602,30.2446,20.5727,31.4258,9.28311,27.0246,19.8521,16.7978,17.146,22.1769,26.5644,20.9246,25.3397,NA,22.3216,25.6304,20.388,25.445,24.854,20.1915,21.0063,23.0051,23.989,20.1403,17.7289,21.7784,11.8664,NA,NA,NA,25.9017,21.6804,22.6355,24.7152,14.1648,NA,21.9693,18.5929,26.4297,21.9349,13.2822,9.59028,35.4059,24.3544,19.403,16.7267,11.8581,21.2182,17.841,NA,27.6264,17.3621,26.1463,35.1332,21.465,18.3748,25.2504,25.1261,25.9158,28.9056,NA,32.2082,19.5769,NA,14.4582,28.3689,13.8169,16.366,12.7106,24.2446,20.7092,20.1372,24.883,NA,24.8687,33.6906,18.2412,12.8183,27.6592,22.5703,27.5256,22.9145
"STXBP5",14.6224,21.6089,18.9876,36.7719,22.6137,26.5968,25.3652,26.6578,20.6205,35.5197,17.3102,38.6052,47.7651,28.6738,41.2532,36.2859,27.2044,26.4062,37.0107,27.2314,21.8523,28.6621,30.1336,33.358,33.9997,29.2078,28.1269,28.3221,40.5277,21.2329,41.8909,28.5394,26.8797,23.8237,19.8413,29.0009,18.1798,19.7906,29.6376,34.6907,38.7547,24.816,39.6516,34.8556,23.7349,38.5716,17.8498,31.5903,46.0444,39.1084,30.8879,33.5095,38.9281,32.5114,21.9034,25.5922,24.1284,23.3468,24.5242,19.5568,29.1352,19.4729,32.9718,25.9977,26.1679,12.955,31.9272,31.7313,57.8103,33.6986,28.7531,23.2583,52.7707,34.8957,29.5892,22.8454,38.989,33.5155,15.7285,17.7262,19.1477,35.7085,21.9731,29.0889,28.2531,36.1689,34.0436,32.2291,47.9435,24.9548,37.1966,33.2551,22.029,24.663,29.4759,41.0618,28.1595,12.8077,32.7687,31.9296,23.9812,15.3944,46.7722,21.378,27.6852,29.7179,33.4274,31.0118,40.8602,31.5062,41.8992,29.9216
"KIAA1217",34.7129,29.0319,30.2162,37.0247,28.5255,27.3263,43.8142,18.2246,33.053,35.3056,29.7457,35.8954,33.296,NA,33.7552,35.0341,40.5727,20.7402,34.4798,37.3511,32.7164,27.5959,38.261,35.0101,35.0649,31.0002,34.6304,29.5195,44.0049,26.6536,30.6775,39.9821,29.7346,36.0657,14.7656,31.7384,23.1792,31.9363,38.4899,48.2992,39.4971,38.5064,36.1736,39.2896,35.1636,28.9982,29.4747,22.9104,34.1393,39.0929,33.2608,33.4768,28.8617,35.5363,29.1928,31.0909,31.2475,30.2244,29.9983,19.0839,36.1177,39.6322,35.5447,37.4976,NA,27.6307,24.4044,38.1346,45.7284,24.0377,32.9213,31.7736,36.9894,32.0455,36.2181,27.1505,32.1346,39.7131,18.5316,18.8848,31.682,21.6364,30.0705,37.8004,24.2825,33.3352,35.432,36.7836,33.2275,34.4754,32.9841,35.6533,40.4567,44.1565,46.1738,38.776,32.7721,36.7895,30.2381,32.2369,32.9213,31.4259,31.9358,27.0254,35.986,35.3708,16.2304,29.6874,42.535,36.7905,31.9872,29.0051
"ARHGAP21",19.9098,36.5947,24.0222,23.3185,NA,25.9604,23.4249,NA,19.563,28.6897,18.2415,23.9761,NA,NA,40.9366,21.2843,47.3663,27.4547,31.6492,17.2116,34.1932,24.3096,21.6942,23.4057,28.8875,NA,20.5031,18.6485,32.3092,20.8016,26.7381,24.7831,21.1407,31.2692,NA,17.813,NA,20.9896,18.9668,22.365,22.7824,23.89,25.6599,NA,NA,34.87,28.1367,NA,35.3077,26.1909,24.5333,27.1959,18.648,24.7691,20.2629,19.9512,21.8918,16.112,17.6602,NA,21.016,NA,24.0052,24.7415,21.0127,NA,20.8817,28.99,33.5064,23.4996,22.0572,28.1457,26.0649,17.6466,21.1467,17.6625,NA,25.4337,15.2482,NA,21.4868,23.5384,28.6961,NA,30.9564,20.8067,22.8459,21.5797,40.2779,19.2123,34.2099,14.6809,23.5991,NA,NA,NA,23.4368,NA,23.866,23.2309,23.2823,38.9727,NA,20.5787,25.3267,15.3526,25.876,NA,18.2479,20.657,26.0421,24.5024
"C9orf64",31.5821,29.2328,29.2367,29.1359,31.0844,29.4275,33.6056,46.3393,35.3935,36.0386,16.8496,30.817,28.522,NA,28.5784,22.0299,33.5886,31.829,26.3486,24.398,32.5681,21.2824,28.9631,32.657,26.8498,42.5934,24.3455,25.5216,24.6901,NA,NA,26.0539,NA,31.8169,17.7996,27.0181,17.1898,28.5412,28.0832,35.0739,31.8768,31.1041,32.6285,19.6509,29.5066,29.1002,36.1825,39.654,26.1792,24.5384,23.6392,22.8005,22.1094,22.5319,14.893,27.0083,23.1796,17.2115,33.0901,34.5892,24.7342,25.1802,26.9547,31.9961,NA,23.5761,30.2417,31.8923,22.0488,33.1034,23.3414,21.905,31.0626,24.1299,26.1074,32.491,35.6216,26.0698,30.6785,26.1649,NA,22.826,29.1728,27.6398,NA,18.4255,28.7857,23.4605,NA,20.5626,40.3234,25.8333,21.5997,19.9977,20.929,27.5734,19.0556,NA,27.7131,27.5051,32.4334,16.6424,32.3538,15.9942,27.7393,32.4121,18.2426,25.5861,36.2529,29.6323,20.9932,29.8878
"GPR158",13.7509,12.1487,17.8166,16.8623,7.81789,15.3784,12.4955,11.1618,NA,NA,15.9743,17.9344,13.7729,NA,18.0517,NA,NA,12.5854,14.0468,15.0459,NA,30.5781,NA,16.0074,33.399,12.1006,11.1497,22.8981,27.84,NA,26.5567,20.8346,15.6048,14.4699,22.9636,18.2537,17.3231,20.0033,13.4954,19.5508,21.2484,21.7249,NA,NA,13.8086,16.7898,12.5256,17.0255,23.4903,13.4643,15.3651,24.9444,27.9102,10.8815,10.783,23.1438,7.15989,16.131,14.2709,NA,7.41771,12.6191,20.0333,21.9378,NA,12.8268,7.95579,19.6028,30.8742,25.7738,10.7865,18.2145,11.6465,19.6522,NA,NA,21.944,16.6525,NA,10.3253,18.6547,23.1972,NA,5.78042,9.49219,3.1218,10.876,13.1012,10.1382,20.0832,23.5982,16.713,7.673,NA,7.89694,17.2883,NA,12.39,11.4855,22.7633,NA,NA,24.6855,6.72934,NA,21.1846,27.1615,10.6513,16.9063,15.7894,17.6367,NA
"ATAD3B",32.0493,33.1781,25.3963,39.6119,32.1214,36.8355,NA,44.0128,NA,16.4192,22.9171,36.6933,22.7847,18.7764,17.7217,39.0612,20.7156,46.8712,25.953,NA,35.3545,30.3076,25.4918,8.90258,20.4013,NA,33.9551,29.5841,31.5271,NA,16.8045,31.4818,22.2983,35.7299,18.4588,33.1669,37.1765,NA,23.5177,28.8665,35.8223,27.6144,29.1861,48.3129,19.7798,30.3843,28.4168,28.9603,NA,42.9832,28.0176,34.7795,29.0061,58.2614,30.7498,32.1117,24.6226,28.61,NA,NA,19.4274,18.4803,26.3143,28.5863,32.2035,NA,32.6131,35.2656,19.4658,NA,37.2182,NA,23.7676,24.2073,27.8036,26.1663,16.9102,43.6521,NA,NA,21.0821,NA,29.3704,20.814,31.5246,32.7854,17.5502,54.8744,22.5604,NA,29.151,29.8174,28.3634,20.6801,13.6579,40.9356,22.6464,16.7153,16.9191,37.4233,21.8493,40.1675,35.2722,29.3833,33.5332,18.5929,25.9668,33.4127,29.6287,21.592,29.0314,32.3883
"ATPAF1",124.486,129.315,92.2743,141.992,115.175,142.843,108.747,115.124,89.2311,162.941,81.2091,139.429,145.006,174.016,116.927,143.785,108.828,123.563,106.677,113.843,134.451,127.755,118.261,111.231,124.432,128.481,131.781,124.282,114.948,129.166,110.697,123.581,140.786,134.1,106.074,128.963,131.28,94.3885,108.344,106.942,137.845,141.226,140.741,142.249,91.6879,153.812,102.488,137.899,130.336,154.855,126.291,133.429,125.014,124.981,131.604,145.807,121.558,157.629,116.548,91.7264,132.946,66.1141,130.644,154.889,120.815,106.577,102.256,135.241,91.8414,143.37,131.454,106.442,119.586,115.644,114.634,144.486,118.851,127.948,107.99,88.0763,124.154,129.976,118.815,143.206,99.0225,154.92,106.926,155.981,121.151,186.039,150.019,138.594,128.758,113.066,84.0773,132.969,110.757,128.971,86.6369,134.342,98.0827,119.614,102.533,135.042,123.715,145.835,123.855,150.291,99.9205,148.048,129.23,152.379
"OGFRL1",NA,18.7161,NA,19.0062,13.9106,6.07042,3.50449,NA,8.1096,7.83804,17.0938,11.5226,NA,NA,3.78677,NA,18.0765,NA,NA,11.5742,7.4215,NA,8.43461,6.09494,14.8981,NA,10.1246,11.4252,13.2773,4.6655,13.7567,6.56425,11.6169,9.71175,NA,13.3629,NA,NA,7.7966,NA,NA,NA,9.2236,7.34687,NA,11.1981,10.0446,7.39843,15.5083,NA,4.67195,15.9591,8.50979,NA,NA,NA,NA,12.5074,NA,NA,12.0128,21.3804,10.0025,NA,NA,NA,14.4545,23.5119,6.8802,8.89088,NA,NA,8.8526,NA,12.613,NA,NA,12.4554,NA,7.95962,NA,NA,NA,NA,NA,7.12121,NA,6.94295,NA,9.7358,NA,10.2878,10.3641,NA,NA,NA,10.1185,NA,NA,11.4106,16.3748,NA,15.9221,2.49002,12.6804,12.4802,NA,NA,25.0966,6.96904,NA,NA
"DDI2",10.0268,22.8558,19.0787,21.0835,21.2121,13.8722,14.323,16.1712,11.3394,12.6198,19.1768,17.799,14.4624,NA,16.1446,20.413,13.3808,20.1161,22.1586,15.2469,19.4833,13.6795,14.4705,18.8535,15.1451,17.5785,16.0028,16.3558,14.1659,19.3379,13.2386,15.6662,11.8133,21.8666,19.726,28.3588,26.768,9.05915,19.5845,28.0538,14.4052,18.8015,17.2065,NA,17.1182,NA,17.6175,9.99299,17.8558,17.0468,20.119,19.9838,20.6049,17.0483,17.2802,18.5859,21.5587,21.3826,NA,17.5907,20.0835,22.3764,23.2894,14.6024,7.15669,11.8865,18.1071,14.86,16.4543,12.4977,12.0523,18.9204,17.0255,27.459,32.0687,22.0698,9.7831,11.9948,20.2161,17.2499,27.1568,18.7691,19.4407,91.8591,23.6189,9.25472,12.541,21.6994,16.1187,13.1252,37.0631,12.7243,19.0569,17.7745,25.6781,18.1664,18.5369,26.7531,15.7745,16.6763,19.9915,19.1668,21.1422,15.5307,15.8709,17.8745,13.8613,NA,19.8036,13.8851,16.8479,13.9625
"H3-7",699.175,900.892,921.409,743.812,1114.22,1281.05,1023.73,562.84,1241.59,953.053,780.687,629.232,1437.92,803.439,1179.41,1046.56,2402.39,947.603,494.038,1025.7,837.884,832.194,910.43,884.933,958.067,734.617,1066.81,866.96,950.477,1417.64,678.512,1369.16,665.418,913.544,1097.41,1023.19,1157.48,995.636,995.154,1410.05,1011.3,1115.93,776.068,980.999,942.395,1138.76,973.9,713.899,607.292,447.46,701.652,985.252,638.063,1005.7,772.107,889.021,762.183,739.098,1172.72,1005.15,1238.54,923.289,621.342,723.023,1558.9,1642.74,1493.38,957.888,1147.06,731.651,820.892,871.442,835.68,967.943,1204.84,1109.43,859.802,1014.19,1021.01,645.796,1360.59,903.149,963.25,1059.37,873.569,955.925,1164.33,844.524,923.946,864.214,1186.32,736.543,1428.62,724.1,1058.5,752.208,879.831,903.902,993.185,607.031,1162.3,751.032,689.663,796.559,1241.78,1048.39,641.702,981.22,1136.74,645.873,804.928,1026.51
"NDUFAF5",31.9652,48.7111,27.1788,42.7423,22.2886,NA,NA,NA,25.6191,42.8703,NA,33.5601,NA,30.7411,13.2997,NA,16.7597,39.3174,NA,16.0358,32.7703,18.0604,NA,NA,35.0375,42.4997,NA,29.4096,38.6402,NA,25.2317,32.4837,23.5976,27.5317,35.2706,21.7251,30.0297,26.539,23.0721,NA,NA,31.4603,19.0899,NA,29.6106,NA,NA,20.7847,NA,NA,24.2035,23.094,23.7663,26.5722,32.2159,46.2076,28.3756,28.9187,NA,NA,47.7714,NA,35.1653,29.9293,NA,40.3291,37.9377,24.8774,NA,26.9873,NA,NA,19.7645,24.9095,47.2088,27.5619,NA,30.9483,NA,18.7098,33.8496,25.3361,NA,NA,NA,30.166,30.4539,21.4849,17.2863,NA,30.6801,30.6645,NA,NA,NA,42.5408,30.0246,NA,NA,NA,15.5843,35.4816,23.4499,NA,39.7789,34.7854,NA,NA,NA,44.9484,NA,NA
"SOGA3",67.1681,92.1748,63.1431,108.971,63.9969,85.6382,115.577,86.0832,66.7416,94.8895,53.6028,101.964,94.3572,103.808,119.085,111.818,76.4533,89.1659,98.369,69.829,83.5446,94.1919,76.1292,117.192,113.646,106.847,115.121,113.52,112.378,65.4533,125.193,102.318,93.4528,94.4966,80.3657,100.02,98.4127,100.131,81.5188,105.182,97.7372,106.73,101.485,69.9355,98.1134,111.166,66.2628,70.8326,93.7194,82.8684,94.4647,103.935,103.612,101.203,89.4577,94.354,89.0978,56.1261,91.2085,63.6513,97.1164,82.2115,98.6405,90.02,98.0361,54.6277,93.3136,103.283,136.758,87.6752,95.5495,66.2923,127.877,108.032,67.9755,93.9857,93.61,108.919,61.6596,48.2582,90.8941,114.812,80.9277,95.6054,99.4217,79.9775,119.466,92.1281,117.619,88.6544,118.378,114.213,83.2905,66.7183,88.9589,110.383,100.164,90.5858,100.952,119.607,74.6215,90.469,107.786,39.1012,96.4397,111.556,74.0805,60.1983,97.7616,95.8774,83.2108,84.1702
"ARFGEF3",13.8931,18.5795,NA,19.4911,9.91431,41.0351,NA,NA,NA,NA,NA,15.7798,21.3427,NA,20.4417,24.0511,NA,NA,21.9248,14.4519,21.9035,NA,19.6105,25.5406,24.7127,25.5186,24.2768,9.0496,20.6291,NA,22.7318,18.6638,13.3321,NA,NA,NA,27.572,13.7114,20.223,NA,18.596,NA,17.5105,NA,11.3323,NA,NA,NA,NA,17.934,25.5628,18.1472,18.02,11.6478,14.8001,NA,NA,NA,NA,NA,16.093,NA,22.0387,45.6423,NA,NA,19.6965,22.8958,25.7203,19.9314,NA,NA,23.1458,NA,NA,13.3448,21.676,13.6152,NA,NA,23.9785,8.15299,19.5656,NA,NA,33.0565,17.6711,NA,22.6521,22.7336,25.5261,20.844,16.8258,32.2543,15.0349,NA,22.9004,NA,17.2659,21.7968,15.1119,15.6129,16.2144,NA,20.3629,12.3614,21.1313,NA,25.8863,20.851,5.53852,22.9824
"LYRM7",28.1979,28.943,21.9064,25.8985,NA,20.9025,14.3616,9.82804,17.1863,22.7346,21.5621,25.8228,19.4933,NA,20.7862,22.4587,15.0311,NA,20.7846,20.8421,15.3814,12.8503,25.3503,11.8236,19.617,24.2423,22.013,19.5577,18.2866,NA,18.9754,18.6485,25.5262,20.235,20.5066,19.5958,31.0023,15.8582,21.7264,28.5089,18.6151,28.5316,18.5727,16.2182,22.7589,20.2539,35.3087,15.401,23.8729,34.2843,20.2753,28.7645,26.969,29.6645,25.8009,23.2447,34.764,21.1664,24.4468,NA,22.7654,22.3488,28.2573,25.1422,13.718,18.2506,12.6613,23.6956,10.5771,34.2804,22.3519,22.595,21.4019,17.936,23.9172,16.2233,12.25,25.0569,19.2951,20.9391,22.3224,20.6602,25.9763,17.5478,14.3468,19.3666,24.2642,29.2178,15.9744,32.5054,15.365,19.0873,29.5467,25.9202,27.9841,27.5816,29.1165,20.0671,21.1898,24.4657,17.6901,26.6817,34.2845,33.515,22.0397,20.6917,20.1492,23.9208,18.5515,13.6003,24.0955,16.8226
"VPS53",31.1806,46.3225,23.5653,40.4379,33.359,32.5413,34.0057,22.2578,36.872,32.1612,21.4974,31.8946,34.4761,NA,38.1451,37.6464,NA,28.436,29.8507,27.7027,34.3367,30.8498,32.3257,35.0753,32.2452,28.2445,37.0164,36.5419,32.7793,49.4412,34.748,29.9001,38.0901,41.3874,24.834,30.0095,37.7659,30.7247,38.3291,37.6644,42.4872,36.5523,32.5707,36.3713,32.607,23.2807,23.9723,29.8219,30.7327,37.1964,34.0104,43.552,39.3432,34.0341,35.4904,28.8604,31.5016,28.7577,18.6123,27.736,26.7438,21.5496,35.8005,45.2203,24.2911,24.2733,30.3502,34.5758,36.9085,27.9685,37.0443,29.6454,29.6645,31.1937,29.0841,27.923,48.9748,29.4182,29.5792,15.6446,41.4946,25.1761,51.2369,28.7892,25.8313,27.8711,36.2402,42.6529,36.2857,34.951,43.8993,40.7897,30.4668,38.3297,31.2231,37.463,34.1533,46.5844,31.9765,41.2885,39.3714,28.8284,28.3318,27.9129,31.4988,35.0822,31.0482,31.0973,28.7043,39.0227,39.2471,27.3313
